Name	City	Zip	Score	Non-Smoking	Date	Street
LITTLE CAESARS PIZZA	MADISON	35758	93	Yes	12/19/2014	1593-G  Hughes Road
LITTLE CAESARS PIZZA	HUNTSVILLE	35805	94	Yes	1/20/2015	2900-J Triana Boulevard
LITTLE CAESERS PIZZA	HUNTSVILLE	35810	94	Yes	8/15/2014	2598-A Sparkman Drive
LONG BRANCH LOUNGE	HUNTSVILLE	35811	95	No	1/12/2015	200-A Oakwood Avenue
M A VERAI INC., DBA DITTO LANDING JET-PEP	HUNTSVILLE	35803	95		3/3/2015	13375 South Memorial Parkway
MAD. CO. H. S. COFFEE SHOP (BREWED AWAKENING)	GURLEY	35748	93		2/9/2015	174 Brock Road
MADISON CO. ELEM. BASKETBALL CONCESS.	GURLEY	35748	94	Yes	11/18/2014	173 Wood Street
MADISON COUNTY H S BASKETBALL	GURLEY	35748	94	Yes	11/18/2014	174 Brock Rd
MADISON FOOD MART	MADISON	35758	88	Yes	7/22/2014	8500 Old Madison Pike
MADISON PHILLIPS 66	MADISON	35758	94	Yes	1/26/2015	15 Hughes Road
MADISON SQUARE 12	HUNTSVILLE	35806	92	Yes	1/13/2015	5905 University Drive
MADISON SQUARE CHEVRON FOOD MART	HUNTSVILLE	35806	85	Yes	8/5/2014	5830 University Drive
MAGGIE MOO'S ICE CREAM AND TREATERY	HUNTSVILLE	35806	95	Yes	10/31/2014	 350 Bride Street, Suite 112
MAPCO EXPRESS # 218	HARVEST	35749	89	Yes	12/8/2014	5909 AL Hwy 53
MARCO'S PIZZA	HUNTSVILLE	35803	97	Yes	1/26/2015	11310 Memorial Parkway SW, Sui
MARCO'S PIZZA	HUNTSVILLE	35805	95		1/28/2015	2315 Bob Wallace Ave, Ste 102
MARY'S GROCERY	BROWNSBORO	35741	98	Yes	1/30/2015	5694 Hwy 431 S
MASON DIXON BAKERY	HUNTSVILLE	35802	95	Yes	12/11/2014	9009-F Memorial Parkway SE
MASTIN LAKE CHEVRON	HUNTSVILLE	35810	92	Yes	1/23/2015	3501 Pulaski Pike
MAYFAIR PARK CONCESSIONS	HUNTSVILLE	35801	93	Yes	4/24/2014	550 Thorton Avenue
MCGUCKEN PARK (HUNTSVILLE NATIONAL LEAGUE)	HUNTSVILLE	35803	98	Yes	4/7/2014	130200 Bailey Cove Rd
MED EXPRESS CONVENIENCE STORE, INC.	HUNTSVILLE	35801	92	Yes	2/27/2015	2000 Whitesburg Drive
MEDICAL MALL KIOSK	HUNTSVILLE	35801	97	Yes	10/16/2014	1963 Memorial Parkway
